customer_index,age,job,marital,education,xac_suat_dong_y
39676,76,retired,married,basic.4y,0.9843252072359836
39655,92,retired,married,unknown,0.9838518318317694
40473,66,admin.,divorced,university.degree,0.9812833771192505
39180,64,retired,married,university.degree,0.9797259616561805
39614,78,retired,divorced,basic.4y,0.9795346877692259
39221,34,admin.,single,university.degree,0.9791997148851317
40487,33,admin.,married,university.degree,0.9786893657765586
40567,37,admin.,married,university.degree,0.9785644955557874
39644,48,unemployed,married,professional.course,0.9778608064713132
40586,60,retired,married,university.degree,0.977398143774509
40359,58,blue-collar,married,basic.4y,0.9758532849177733
40413,59,retired,married,professional.course,0.9752224993343429
39680,52,management,married,university.degree,0.9739811899820274
40163,70,retired,divorced,basic.4y,0.9732087660831013
40476,42,technician,married,professional.course,0.9724981774483896
40780,41,unemployed,married,high.school,0.9724773078733148
40450,92,retired,married,unknown,0.9721921029489745
40360,48,admin.,married,university.degree,0.9703363690638511
40686,83,retired,divorced,basic.4y,0.9693693116293535
40452,50,admin.,single,university.degree,0.9692258147811572
39228,26,admin.,single,high.school,0.9687900543237948
40670,29,admin.,single,high.school,0.9685746582590004
40276,68,retired,divorced,high.school,0.9681341763998339
40469,92,retired,married,unknown,0.967546239969868
39348,78,retired,married,unknown,0.9671497865631226
39607,52,admin.,married,university.degree,0.9663118246578888
39159,37,admin.,single,high.school,0.9661259934053804
39611,52,technician,married,university.degree,0.9657709727603858
39646,40,technician,married,professional.course,0.9656032094294805
39668,52,management,married,university.degree,0.9645344683023205
38720,33,admin.,married,university.degree,0.9642879762870952
40368,27,student,single,university.degree,0.9635212909102154
40734,23,student,single,professional.course,0.962965628163705
40160,32,admin.,single,university.degree,0.9628029973667226
40434,47,management,married,university.degree,0.9619213593438002
40728,24,student,single,high.school,0.9617580207740888
39498,80,retired,divorced,basic.4y,0.9612924788161493
39803,48,admin.,divorced,high.school,0.9604414527509227
38715,33,admin.,married,university.degree,0.9600163673882571
38781,34,admin.,single,university.degree,0.9576334350959341
39685,33,admin.,married,university.degree,0.9569877202661584
38716,38,admin.,married,university.degree,0.9566914502615463
38722,79,retired,married,basic.4y,0.9565159170633034
40384,44,services,divorced,basic.6y,0.954503972670212
39153,21,student,single,basic.9y,0.95328868359485
40044,30,admin.,single,university.degree,0.9532566373783317
40168,47,admin.,single,basic.9y,0.9532209263926092
40288,60,retired,married,professional.course,0.9529376991057839
40954,48,technician,married,professional.course,0.9529283572130328
40166,32,admin.,single,university.degree,0.9528875792269819
39396,33,admin.,single,university.degree,0.9520383610006056
40713,30,technician,single,professional.course,0.9513484353927892
39929,37,unemployed,single,university.degree,0.9513076782698907
41032,36,unemployed,married,high.school,0.9510204715429222
40945,54,admin.,married,high.school,0.9506157302533391
40161,20,student,single,basic.9y,0.9501981779228298
41007,37,housemaid,married,university.degree,0.9500990245225576
39719,80,retired,married,basic.4y,0.9498733540844969
38711,61,management,married,university.degree,0.9486938785904933
39726,20,student,single,unknown,0.9480217901544938
40105,59,retired,divorced,basic.4y,0.9470527755609693
39976,56,retired,married,high.school,0.94661559912949
39911,36,admin.,single,university.degree,0.9465430697948336
41003,37,management,married,university.degree,0.9465119680919594
39505,26,student,single,high.school,0.9460637770948971
40358,21,student,single,high.school,0.9457979179526624
40257,35,admin.,married,university.degree,0.9455144698017319
40040,30,admin.,single,university.degree,0.9440538022308647
40172,31,admin.,single,university.degree,0.94341268732854
40078,72,retired,married,basic.4y,0.9423894487483098
39407,46,technician,married,professional.course,0.9420680098511575
39572,30,admin.,single,university.degree,0.9417086372704914
38797,60,unemployed,married,basic.4y,0.9401785416188634
38431,56,retired,married,professional.course,0.9399371980589742
39014,65,management,married,unknown,0.9398758281835717
40173,26,technician,single,university.degree,0.9396257501873317
40123,29,admin.,married,university.degree,0.9389230013446653
39908,45,admin.,divorced,university.degree,0.938445867487879
39650,77,retired,married,university.degree,0.9381667592795515
39301,37,technician,married,professional.course,0.9381045250335512
39272,33,admin.,single,university.degree,0.9376009671908371
40942,65,retired,married,basic.4y,0.935935024135128
38905,34,admin.,divorced,high.school,0.9324568007482154
38977,23,student,single,university.degree,0.9304999795834691
39907,32,admin.,single,university.degree,0.9300474440280894
39820,35,technician,single,professional.course,0.9296082661186387
36615,32,admin.,married,university.degree,0.9294166293018467
40425,24,admin.,single,university.degree,0.9292553019938407
39912,36,blue-collar,single,high.school,0.9282333241778896
38423,34,technician,married,professional.course,0.9279520775894154
39769,30,admin.,married,university.degree,0.9275104398349495
39340,30,student,single,unknown,0.9271649094818241
38802,26,admin.,married,high.school,0.9263962384900577
38758,53,housemaid,married,basic.4y,0.925831610099289
39867,29,admin.,married,high.school,0.9253169850855356
39549,37,technician,married,professional.course,0.9251462006405236
39905,36,management,married,university.degree,0.9248409220684495
39094,35,blue-collar,married,basic.9y,0.9245947082764432
40958,63,admin.,married,university.degree,0.9239699085882882
39198,43,self-employed,married,university.degree,0.9236899457452015
39608,52,admin.,married,university.degree,0.923385754711216
39217,42,blue-collar,married,basic.6y,0.9232224680107818
37918,25,admin.,single,university.degree,0.9229887558454792
40514,33,student,married,professional.course,0.9215958226775591
40976,56,technician,divorced,professional.course,0.9213772645794299
39841,37,admin.,married,university.degree,0.9211561877895857
38667,29,management,married,university.degree,0.9206544348541169
38438,56,technician,married,basic.4y,0.9205008307063808
38034,56,admin.,married,university.degree,0.9202217684928209
38800,29,admin.,single,high.school,0.9181991831633183
39245,46,admin.,married,university.degree,0.9174472006334707
41178,62,retired,married,university.degree,0.916947144981559
40633,47,technician,married,basic.6y,0.9164197907779333
40552,27,admin.,married,university.degree,0.9163873845644805
38964,30,technician,married,university.degree,0.916000757709043
36751,25,admin.,single,university.degree,0.9158937553642005
41151,41,technician,married,professional.course,0.9153380943464288
40940,49,admin.,married,high.school,0.9146285044594848
40114,73,retired,married,basic.4y,0.9140878205738165
40927,31,technician,married,university.degree,0.9131927336755515
40510,34,technician,single,basic.9y,0.9129022473402011
41163,35,technician,divorced,basic.4y,0.9127496177292633
39894,26,admin.,single,university.degree,0.9126504838504421
40990,31,admin.,single,university.degree,0.9123067476830183
39229,34,admin.,single,university.degree,0.9119764040038941
30307,37,admin.,married,high.school,0.911965199972132
40857,30,technician,unknown,university.degree,0.9118662453368559
39329,39,technician,divorced,high.school,0.911805371666809
38111,60,self-employed,divorced,university.degree,0.9103233122955627
36509,28,services,single,basic.6y,0.9101170228360922
37704,37,admin.,divorced,university.degree,0.9093597919678105
38312,40,services,married,professional.course,0.9092616743382607
39787,25,services,single,unknown,0.9078996480806978
38760,40,services,married,high.school,0.9078551145177909
37837,36,housemaid,single,university.degree,0.9075216422243738
39223,34,admin.,single,university.degree,0.9067096143061589
40131,35,technician,single,professional.course,0.9066466402616089
38693,25,admin.,single,university.degree,0.9063851378799244
38967,83,retired,married,high.school,0.906159465569223
37729,34,technician,single,unknown,0.9059306338924015
39993,27,unknown,single,university.degree,0.9048841786623718
37264,48,admin.,divorced,university.degree,0.9048632587083623
27759,34,technician,single,professional.course,0.9048083129825858
40490,33,management,married,university.degree,0.9045356768790788
39047,43,admin.,married,high.school,0.903830756498584
37987,45,admin.,married,university.degree,0.9034138470441895
39328,39,technician,divorced,high.school,0.90178664796419
36703,25,technician,single,university.degree,0.9010363175754353
39501,41,admin.,married,university.degree,0.9003701084390088
40742,34,admin.,married,high.school,0.8992053342296153
40941,66,retired,married,basic.4y,0.8988623635142861
38154,50,management,married,university.degree,0.8979333806385132
39186,85,retired,single,professional.course,0.897514133002292
36468,40,blue-collar,divorced,professional.course,0.8968202558275835
37328,30,admin.,single,university.degree,0.8961078045525328
36621,53,unknown,married,professional.course,0.8957975850568883
40346,31,student,single,university.degree,0.8952514755922149
38452,98,retired,married,basic.4y,0.8940781535163767
39171,53,admin.,divorced,university.degree,0.893494573901751
39983,38,entrepreneur,married,basic.6y,0.8933960015167156
40266,52,admin.,married,professional.course,0.8932892303422549
37758,36,admin.,single,high.school,0.8929329204097621
40736,52,admin.,married,professional.course,0.8925916691415839
38904,35,management,married,university.degree,0.8918346186736631
40072,37,admin.,married,high.school,0.8908959738430647
39880,24,student,single,high.school,0.8908795935669553
37789,51,admin.,divorced,high.school,0.8907102696438685
39717,28,student,single,university.degree,0.8904882310154979
36656,46,housemaid,single,university.degree,0.8901210029001391
39551,35,admin.,single,university.degree,0.8900001578512853
38274,17,student,single,unknown,0.8893871059823081
30149,53,admin.,single,university.degree,0.8893716139693243
37996,49,admin.,married,high.school,0.8892503963624481
39302,56,retired,married,basic.4y,0.8888611340569352
40083,46,admin.,married,university.degree,0.8883272309367863
40983,74,retired,divorced,basic.4y,0.8882481341857225
38283,28,technician,single,high.school,0.8865509956674883
37713,32,management,single,university.degree,0.8864909779396107
40058,57,unknown,married,basic.4y,0.8859765441368588
37738,61,retired,married,basic.4y,0.8859364922588264
39337,27,admin.,single,university.degree,0.885236794208009
30314,36,admin.,married,university.degree,0.8844614326524267
39833,29,admin.,single,university.degree,0.883107028137849
38445,22,student,single,high.school,0.8829433780261238
36606,25,services,single,high.school,0.8828559957576282
37049,45,admin.,married,university.degree,0.8823916946569116
24016,33,housemaid,married,high.school,0.8816627668880993
24048,34,admin.,single,university.degree,0.8816122791024916
38457,22,student,single,basic.9y,0.8815124431564308
40410,25,admin.,single,university.degree,0.8814922531542367
39739,28,admin.,married,high.school,0.88066364616556
39142,31,admin.,married,university.degree,0.8797268246337471
37925,60,retired,married,professional.course,0.8794744919785071
39489,80,retired,divorced,basic.4y,0.8793870694486885
41078,37,admin.,married,university.degree,0.8792486175439994
40740,33,technician,married,university.degree,0.8790619008749245
24053,30,admin.,married,university.degree,0.8784057136777719
40934,27,admin.,single,university.degree,0.8778419031135682
38004,43,technician,married,high.school,0.8775674083025562
40227,43,technician,married,professional.course,0.8774675206725661
37610,25,admin.,single,university.degree,0.8771922535822503
37998,66,management,divorced,university.degree,0.8767361297719085
36626,28,management,single,university.degree,0.8764290165462577
40758,33,technician,married,unknown,0.8758369678550662
39461,68,retired,married,basic.4y,0.8757649285454653
36760,38,technician,married,professional.course,0.8755704493973046
38833,40,technician,single,university.degree,0.875490604772566
40665,45,unemployed,married,high.school,0.872815712686653
27734,28,student,single,basic.9y,0.8726280741825765
36542,42,self-employed,married,university.degree,0.8720157779313663
40003,29,admin.,single,high.school,0.871999874299259
40378,27,student,single,basic.9y,0.8714806776697298
38081,70,admin.,married,basic.4y,0.8712183812284415
40143,29,admin.,single,university.degree,0.8707603812966407
39041,85,retired,divorced,basic.4y,0.8699826778812354
39359,34,admin.,divorced,high.school,0.869901606687831
39843,50,management,married,university.degree,0.8696580505572985
39785,25,services,single,unknown,0.8691149217766946
36770,54,blue-collar,married,basic.9y,0.8689592235827217
24045,43,blue-collar,married,basic.9y,0.8686650272501082
27739,38,technician,married,professional.course,0.8686358765682971
39007,56,management,married,professional.course,0.8684343715432887
40795,26,self-employed,single,university.degree,0.8683010380518512
27756,38,technician,married,professional.course,0.8680796971630936
30311,48,unemployed,single,basic.9y,0.8676285478876004
38117,63,housemaid,married,basic.4y,0.8675418310544416
37812,49,entrepreneur,single,university.degree,0.8672077912261407
41077,45,blue-collar,married,high.school,0.8671296240305578
41079,51,services,married,high.school,0.8669277055661915
30029,64,retired,married,university.degree,0.8667062818080891
38465,26,admin.,single,high.school,0.8666184911005924
27814,88,retired,divorced,basic.4y,0.8663790879761525
40557,33,technician,married,professional.course,0.8655710911148108
40823,33,technician,single,professional.course,0.8652061520522067
39992,26,admin.,married,high.school,0.8644400588880439
39586,32,student,single,unknown,0.8642805395277684
39379,59,admin.,divorced,university.degree,0.8636014543186108
37558,17,student,single,basic.9y,0.8635606548286243
40406,37,management,married,high.school,0.8632988858539352
39777,31,unknown,single,high.school,0.8620382714369472
40868,26,technician,single,university.degree,0.8615931686678954
39296,66,retired,married,high.school,0.8612575495288748
41141,37,admin.,married,university.degree,0.8609267472248421
40836,30,student,single,professional.course,0.8609259700325506
40318,63,retired,married,basic.4y,0.8605797255419398
37142,59,admin.,married,high.school,0.8602764141894811
40144,34,services,married,basic.9y,0.8600706191667506
40247,63,admin.,married,university.degree,0.8599681136218758
40801,53,technician,married,university.degree,0.8596001180309681
37236,48,entrepreneur,married,university.degree,0.8593277737716645
36561,30,admin.,single,university.degree,0.8591645444774197
38591,34,technician,single,university.degree,0.8585762705524038
40808,35,technician,married,professional.course,0.857847576209103
40730,60,retired,married,high.school,0.8575255248143147
37675,74,retired,divorced,basic.4y,0.8569814848382287
39310,28,admin.,single,university.degree,0.8566265747139199
39042,84,retired,married,high.school,0.8563686696759636
39433,49,admin.,married,high.school,0.8560030641041024
27865,33,blue-collar,single,high.school,0.8556821654972964
37786,43,services,married,high.school,0.8554151727553619
40138,53,blue-collar,single,basic.9y,0.8552911879376159
41158,35,technician,divorced,basic.4y,0.8545276634183554
37527,22,student,single,high.school,0.8542145263086877
39482,61,retired,married,high.school,0.8541765259740316
40303,53,admin.,married,high.school,0.853514365348156
41098,29,student,single,high.school,0.853431579011027
