dac_trung,he_so_w,odds_ratio
cp_3,2.0826556676536185,8.025754374520783
cp_2,1.8599265628450927,6.423265047798
thal_1,0.9257373827519516,2.5237285282964854
thalach,0.9193679937078655,2.507705003660887
cp_1,0.7637503216155749,2.146310500176207
ca_4,0.7475602832140449,2.11184143143845
slope_2,0.5320618703692008,1.702438900631753
thal_2,0.47800927019159645,1.6128604348395708
restecg_1,0.3620448891517429,1.4362634131596084
age,0.323294780436975,1.3816725809281216
fbs,0.22582421703931702,1.2533553274026936
restecg_2,-0.17970415583509908,0.8355173577860374
chol,-0.26445496803978347,0.7676242157124038
oldpeak,-0.32035679746880774,0.7258899951507851
trestbps,-0.38094688317817654,0.6832141788219114
slope_1,-0.5380380326676593,0.5838927077330258
thal_3,-0.7448391886649198,0.4748106487352054
exang,-0.9448384779792574,0.3887423562819407
ca_3,-1.4426564095320535,0.2362992167275796
sex,-1.8115608830585008,0.1633988910892925
ca_1,-1.9623124095369173,0.14053307487677505
ca_2,-2.9846259176058694,0.050558413024250876
