threshold,total_cost_val_vnd,total_cost_test_vnd_doi_chieu
0.01,4055400000.0,4167800000.0
0.02,2278018630.0,2328200000.0
0.03,1577069630.0,1593938930.0
0.04,1181669630.0,1228957660.0
0.05,931869630.0,980957660.0
0.060000000000000005,757869630.0,810357660.0
0.06999999999999999,637069630.0,680024350.0
0.08,547669630.0,585251350.0
0.09,475469630.0,515256280.0
0.09999999999999999,420869630.0,462656280.0
0.11,374269630.0,414256280.0
0.12,341669630.0,376256280.0
0.13,304669630.0,344056280.0
0.14,278869630.0,319256280.0
0.15000000000000002,256069630.0,293656280.0
0.16,235269630.0,274056280.0
0.17,215869630.0,252656280.0
0.18000000000000002,200669630.0,238056280.0
0.19,188269630.0,225056280.0
0.2,176469630.0,213056280.0
0.21000000000000002,164069630.0,201256280.0
0.22,153269630.0,186256280.0
0.23,145269630.0,188320930.0
0.24000000000000002,138669630.0,180320930.0
0.25,131469630.0,171720930.0
0.26,125669630.0,163720930.0
0.27,119669630.0,156320930.0
0.28,113469630.0,149920930.0
0.29000000000000004,106669630.0,139520930.0
0.3,102669630.0,134720930.0
0.31,98269630.0,129520930.0
0.32,92869630.0,141047030.0
0.33,88869630.0,137047030.0
0.34,85469630.0,133647030.0
0.35000000000000003,82269630.0,130247030.0
0.36000000000000004,79869630.0,127047030.0
0.37,77869630.0,125047030.0
0.38,75069630.0,122047030.0
0.39,71469630.0,119647030.0
0.4,68669630.0,117647030.0
0.41000000000000003,65469630.0,114847030.0
0.42000000000000004,63269630.0,112247030.0
0.43,59069630.0,110447030.0
0.44,56269630.0,108247030.0
0.45,54269630.0,105647030.0
0.46,53339160.0,103647030.0
0.47000000000000003,50555160.0,102647030.0
0.48000000000000004,48955160.0,100847030.0
0.49,46755160.0,99247030.0
0.5,44155160.0,97247030.0
0.51,42755160.0,95847030.0
0.52,39755160.0,94647030.0
0.53,38355160.0,93847030.0
0.54,36155160.0,92447030.0
0.55,35155160.0,91047030.0
0.56,33755160.0,90247030.0
0.5700000000000001,33155160.0,89047030.0
0.5800000000000001,31555160.0,88047030.0
0.59,29755160.0,86647030.0
0.6,29355160.0,85847030.0
0.61,28755160.0,84847030.0
0.62,28355160.0,83779400.0
0.63,27555160.0,82779400.0
0.64,27155160.0,82064180.0
0.65,25555160.0,81464180.0
0.66,24355160.0,79864180.0
0.67,22955160.0,79454800.0
0.68,21982160.0,78654800.0
0.6900000000000001,21182160.0,77654800.0
0.7000000000000001,20788850.0,77054800.0
0.7100000000000001,19388850.0,75654800.0
0.72,18588850.0,75454800.0
0.73,17788850.0,74854800.0
0.74,17388850.0,74254800.0
0.75,16588850.0,73854800.0
0.76,15988850.0,73254800.0
0.77,15388850.0,72654800.0
0.78,14188850.0,72654800.0
0.79,13188850.0,71454800.0
0.8,12988850.0,70654800.0
0.81,11788850.0,70454800.0
0.8200000000000001,11388850.0,70454800.0
0.8300000000000001,10388850.0,69654800.0
0.8400000000000001,16854810.0,68854800.0
0.85,16654810.0,68654800.0
0.86,15854810.0,68454800.0
0.87,14854810.0,68054800.0
0.88,14254810.0,67454800.0
0.89,13254810.0,66854800.0
0.9,12454810.0,66654800.0
0.91,12275330.0,66454800.0
0.92,12096120.0,66454800.0
0.93,11896120.0,66254800.0
0.9400000000000001,11896120.0,65654800.0
0.9500000000000001,11696120.0,65454800.0
0.9600000000000001,46959340.0,65275320.0
0.97,46759340.0,65075320.0
0.98,46759340.0,71767540.0
0.99,49926780.0,79091840.0
