Hour,ty_le_gian_lan,so_giao_dich,so_gian_lan
0,0.0007797270955165692,7695,6
1,0.002369668246445498,4220,10
2,0.017127403846153848,3328,57
3,0.004868270332187858,3492,17
4,0.01041195110909914,2209,23
5,0.0036789297658862876,2990,11
6,0.0021945866861741038,4101,9
7,0.003175479773574486,7243,23
8,0.0008758271701050993,10276,9
9,0.0010102285642126531,15838,16
10,0.0004819857814194481,16598,8
11,0.003144280968201234,16856,53
12,0.0011024643320363165,15420,17
13,0.0011064106736088514,15365,17
14,0.001388050694025347,16570,23
15,0.0015794909179272219,16461,26
16,0.0013371421625235518,16453,22
17,0.0017938884077693925,16166,29
18,0.001936733376371853,17039,33
19,0.0012141350885040577,15649,19
20,0.0010742420625447602,16756,18
21,0.0009038016155453877,17703,16
22,0.0005828638041577618,15441,9
23,0.0019199122325836533,10938,21
