alpha,lasso_so_bien_trong_nhom,elasticnet_so_bien_trong_nhom,lasso_tong_so_bien,elasticnet_tong_so_bien
0.001,4,4,14,14
0.0012154742500762859,4,4,14,14
0.0014773776525985112,4,4,14,14
0.001795714494371641,4,4,13,14
0.0021826447283974874,4,4,13,14
0.0026529484644318944,4,4,13,14
0.0032245905452963947,4,4,13,14
0.003919406774847221,4,4,13,14
0.004763938010401341,4,4,13,14
0.005790443980602483,4,4,13,14
0.007038135554931555,4,4,13,14
0.008554672535565685,4,4,13,14
0.0103979841848149,4,4,13,14
0.012638482029342977,4,4,13,14
0.015361749466718281,4,4,13,14
0.018671810912919196,4,4,13,14
0.022695105366946685,3,4,12,14
0.027585316176291827,3,4,13,14
0.033529241492495566,3,4,13,14
0.040753929658717755,2,4,11,14
0.0495353520895917,2,4,10,14
0.060208944933361284,2,4,10,14
0.07318242219076174,2,4,10,14
0.08895134973108232,2,4,7,12
0.10811807510766078,2,4,7,12
0.13141473626117553,2,3,6,11
0.1597312280060254,1,3,5,10
0.19414919457438817,1,3,4,8
0.23598334667821938,1,3,3,7
0.2868316813342009,1,3,3,7
0.34863652276780843,1,3,3,7
0.4237587160604063,1,4,3,6
0.5150678076168121,1,4,3,6
0.6260516572014815,1,4,3,6
0.7609496685459876,1,4,3,6
0.9249147277217336,1,4,3,6
1.1242100350620863,1,4,3,6
1.3664483492953243,1,4,3,6
1.6608827826277148,1,4,3,6
2.018760254679039,1,4,2,6
2.453751106639817,1,4,1,6
2.982471286216888,1,4,1,6
3.6251170499885315,1,4,1,6
4.406236427773573,1,4,1,5
5.3556669177068965,1,4,1,5
6.509675230458164,1,4,1,5
7.912342618981318,1,4,1,4
9.617248711152964,0,4,0,4
11.689518164985776,0,3,0,3
14.208308325339209,0,2,0,2
17.269832906594324,0,0,0,0
20.991037201085547,0,0,0,0
25.514065200312874,0,0,0,0
31.011689265747755,0,0,0,0
37.69390975388364,0,0,0,0
45.81597669054491,0,0,0,0
55.68813990945267,0,0,0,0
67.68750009458527,0,0,0,0
82.27241341700457,0,0,0,0
100.0,0,0,0,0
