cay_so,gia_tai_1.0mi,gia_tai_2.0mi,gia_tai_5.0mi,gia_tai_10.0mi,gia_tai_20.0mi,so_la
1,7.272153430009754,13.183728505820785,26.631364073006722,43.781644934804405,70.48720798366978,28
2,8.976580947911726,13.1040160438667,26.341263700838194,43.67937310414562,70.51028148854961,28
3,7.286332147537869,13.168751835535979,26.89822507552871,43.415859564164634,70.49685662596114,28
4,7.303975415979732,13.180935747318731,26.888872236792825,44.026578947368435,70.43367208672097,28
5,7.292985934460485,13.182308369182644,25.86250559284113,43.68528528528526,70.4091899251191,28
6,8.916091582351047,13.124457542249147,26.191548295454528,42.14500504540858,70.48688378318091,28
7,7.286937108113141,13.16943572129538,26.585651105651085,42.114416243654766,70.55752803626815,28
8,8.94551101072836,13.077492080253425,25.848934280639405,42.90150943396227,70.40976702508969,28
9,7.287247279549699,13.178517601464128,26.236294503975103,43.605705394190934,70.52528064660976,28
10,8.893879448220636,13.984314872594913,25.75249808429115,43.75550098231824,70.44218820351203,28
