max_depth,MAE_train,MAE_test,so_la
1,6.479939286546281,6.517009601867854,2
2,3.8846612075247604,3.9052092076894813,4
3,2.7175144109527047,2.719074918620871,8
4,2.404794031569119,2.4146232048784513,16
5,2.1629885915307465,2.183031446889252,31
6,2.0752795261790906,2.0979256045362575,60
7,1.942148141895694,1.987054187690836,116
8,1.8917781212418847,1.9559281282675833,217
9,1.8275515402446951,1.9225438103140933,395
10,1.766780090283094,1.903760246432182,702
11,1.7049908399744547,1.891523892160045,1223
12,1.6381919817361545,1.8900694770758724,2084
13,1.566798460272457,1.9027978968044028,3481
14,1.479615711361707,1.922391854800512,5662
15,1.3780196805089073,1.9614808064452467,8858
16,1.2704352079303043,1.994667621364915,13267
17,1.1525515507729664,2.0498812435078158,19016
18,1.0265135037563728,2.097597081866525,26026
19,0.8993523378193633,2.1321826002138233,34139
20,0.7703649594113535,2.1738774018880163,43263
