gia_that,gia_thap_10%,gia_du_doan_trung_binh,gia_cao_90%
7366,7226.0,7317.793214285715,7366.0
64831,64831.0,70341.50962962963,78237.40000000001
6195,6195.0,6198.360555555556,6195.0
60160,60160.0,61285.04733333334,64136.0
6578,5514.6238095238095,6336.3326544011525,6586.61
4555,4555.0,6678.530399470899,9432.240000000002
23838,23838.0,23856.65011111111,23838.0
3860,3860.0,3943.3692857142846,3860.0
32230,34226.245,41630.184865079376,51117.0
76841,56552.03333333333,66323.14676984129,80245.80000000002
